Value,Diff
2731.44,-8.11
2739.55,28.16
2711.39,-41.81
2753.2,-20.05
2773.25,84.04
2689.21,11.31
2677.9,118.67
2559.23,-43.47
2602.7,-45.5
2648.2,12.61
2635.59,71.4
2564.19,-96.17
2660.36,-22.97
2683.33,-57.89
2741.22,36.94
2704.28,-2.93
2707.21,-9.91
2717.12,-34.68
2751.8,55.85
2695.95,50.9
2645.05,-65.31
2710.36,-91.22
2801.58,-18.33
2819.91,-1.01
2820.92,-80.05
2900.97,38.59
2862.38,-73.51
2935.89,78.71
2857.18,-23.51
2880.69,-24.26
2904.95,-75.25
2980.2,19.06
2961.14,62.63
2898.51,88.86
2809.65,93.07
2716.58,71.78
2644.8,111.88
2532.92,-81.44
2614.36,-5.19
2619.55,55.44
2564.11,51.73
2512.38,59.9
2452.48,-58.16
2510.64,112.62
2398.02,-122.77
2520.79,84.65
2436.14,-54.7
2490.84,2.23
2488.61,-61.64
2550.25,23.02
2527.23,-32.42
2559.65,-30.45
2590.1,-3.71
2593.81,-39.85
2633.66,4.45
2629.21,63.12
2566.09,64.6
2501.49,-145.29
2646.78,-12.63
2659.41,-71.28
2730.69,-100
2830.69,-103.96
2934.65,45.29
2889.36,-20.54
2909.9,-45.3
2955.2,6.93
2948.27,89.36
2858.91,-54.95
2913.86,17.08
2896.78,-24.01
2920.79,-44.8
2965.59,53.21
2912.38,-26.48
2938.86,18.69
2920.17,33.54
2886.63,-27.28
2913.91,-113.59
3027.5,50.76
2976.74,-23.71
3000.45,34.89
2965.56,58.81
2906.75,-25.72
2932.47,-48.3
2980.77,-35.55
3016.32,43.82
2972.5,-33.76
3006.26,10.06
2996.2,28.18
2968.02,-72.23
3040.25,-3.35
3043.6,31.97
3011.63,25.94
2985.69,-33.54
3019.23,13.19
3006.04,44.28
2961.76,-21.92
2983.68,-93.47
3077.15,72.23
3004.92,-51.43
3056.35,10.73
3045.62,102.42
2943.2,40.47
2902.73,08.05
2894.68,8.28
2886.4,-27.96
2914.36,-20.12
2934.48,-167.04
3101.52,-99.96
3201.48,02.02
3199.46,-65.52
3264.98,32.2
3232.78,9.39
3223.39,-2.01
3225.4,-20.57
3245.97,-34.22
3280.19,12.52
3267.67,46.07
3221.6,-14.31
3235.91,-40.48
3276.39,44.95
3231.44,-17.67
3249.11,-6.26
3255.37,-111.13
3366.5,42.04
3324.46,-11.63
3336.09,-33.32
3369.41,16.32
3353.09,-33.68
3386.77,-10.11
3396.88,-1.81
3398.69,44.33
3354.36,69.01
3285.35,2.94
3282.41,-47.88
3330.29,-0.27
3330.56,-1.08
3331.64,45.93
3285.71,-108.07
3393.78,61.6
3332.18,3.24
3328.94,74.85
3254.09,-13.52
3267.61,-14.32
3281.93,-23.77
3305.7,-21.35
3327.05,76.73
3250.32,49.71
3200.61,64.03
3136.58,-37.83
3174.41,-33.23
3207.64,-18.64
3226.28,-13.78
3240.06,07.03
3233.03,5.67
3227.36,-54.84
3282.2,-6.48
3288.68,-15.4
3304.08,-9.19
3313.27,-12.97
3326.24,25.13
3301.11,49.44
3251.67,-19.45
3271.12,14.31
3256.81,-53.22
3310.03,-132.11
3442.14,49.71
3392.43,70.25
3322.18,-48.63
3370.81,-33.77
3404.58,-23.24
3427.82,-43.76
3471.58,31.6
3439.98,69.17
3370.81,-25.67
3396.48,-82.13
3478.61,64.84
3413.77,-13.78
3427.55,-9.64
3437.19,-5.82
3443.01,-49.82
3492.83,-34.6
3527.43,-17.71
3545.14,40.13
3505.01,10.24
3494.77,3.88
3490.89,6.92
3483.97,-37.09
3521.06,-7.23
3528.29,-18.45
3546.74,7.27
3539.47,-20.96
3560.43,-9.22
3569.65,-45.83
3615.48,-25.15
3640.63,6.7
3633.93,12.3
3621.63,8.38
3613.25,70.14
3543.11,-38
3581.11,-3.63
3584.74,-44.99
3629.73,-19.57
3649.3,-31.29
3680.59,37.16
3643.43,-41.08
3684.51,-9.5
3694.01,10.06
3683.95,-20.12
3704.07,-36.6
3740.67,-10.9
3751.57,-6.15
3757.72,3.63
3754.09,-66.68
3820.77,-46.43
3867.2,-47.28
3914.48,-30.95
3945.43,74.01
3871.42,-23.36
3894.78,7.32
3887.46,48.68
3838.78,6.48
3832.3,-30.4
3862.7,-32.95
3895.65,120.92
3774.73,138.77
3635.96,-38.3
3674.26,12.79
3661.47,12.79
3648.68,-33.01
3681.69,12.19
3669.5,9.82
3659.68,-106.67
3766.35,9.21
3757.14,-15.08
3772.22,-1.23
3773.45,-3.33
3776.78,139.84
3636.94,-9.71
3646.65,-62.49
3709.14,-44.67
3753.81,18.77
3735.04,-29.46
3764.5,17.48
3747.02,-21.69
3768.71,13.6
3755.11,-125.94
3881.05,-4.53
3885.58,10.77
3874.81,-58.54
3933.35,101.6
3831.75,-11.44
3843.19,45.76
3797.43,-113.04
3910.47,19.17
3891.3,-39.36
3930.66,123.14
3807.52,06.05
3801.47,-13.79
3815.26,106.99
3708.27,-37.35
3745.62,54.51
3691.11,-116.08
3807.19,-26.24
3833.43,-1.01
3834.44,-32.97
3867.41,-41.05
3908.46,39.03
3869.43,11.44
3857.99,-70.65
3928.64,-10.43
3939.07,-14.47
3953.54,-58.2
4011.74,22.13
3989.61,-46
4035.61,-38.04
4073.65,-65.02
4138.67,-19.02
4157.69,-34.93
4192.62,-15.56
4208.18,-61.91
4270.09,-51.18
4321.27,-22.13
4343.4,-87.16
4430.56,89.23
4341.33,-27.67
4369,-75.39
4444.39,20.4
4423.99,-86.8
4510.79,-75.05
4585.84,29.74
4556.1,-146.63
4702.73,-6.09
4708.82,67.27
4641.55,-73.96
4715.51,32.05
4683.46,65.16
4618.3,0.7
4617.6,16.2
4601.4,-46.14
4647.54,-53.18
4700.72,-96.85
4797.57,33.42
4764.15,-24.93
4789.08,19.87
4769.21,-24.57
4793.78,-1.08
4794.86,53.11
4741.75,-83.82
4825.57,-44.8
4870.37,-119.58
4989.95,-58.89
5048.84,-38.29
5087.13,-69.73
5156.86,-19.87
5176.73,78.76
5097.97,-19.15
5117.12,-64.31
5181.43,120.31
5061.12,-123.56
5184.68,-87.07
5271.75,-102.24
5373.99,-167.63
5541.62,38.3
5503.32,-127.17
5630.49,93.93
5536.56,66.11
5470.45,-114.52
5584.97,-51.67
5636.64,49.5
5587.14,-95.74
5682.88,150.29
5532.59,-2.89
5535.48,-32.51
5567.99,89.96
5478.03,-40.11
5518.14,-169.36
5687.5,-75.36
5762.86,119.68
5643.18,-53.93
5697.11,47.66
5649.45,-55.78
5705.23,50.6
5654.63,66.49
5588.14,77.58
5510.56,83.74
5426.82,-46.24
5473.06,-206.77
5679.83,-1.48
5681.31,-8.14
5689.45,-33.29
5722.74,106.53
5616.21,-43.65
5659.86,-178.66
5838.52,-49.94
5888.46,15.54
5872.92,-119.94
5992.86,23.48
5969.38,-124.85
6094.23,87.21
6007.02,-14.91
6021.93,-197.89
6219.82,-128.21
6348.03,-123.73
6471.76,-49.94
6521.7,139.76
6381.94,77.07
6304.87,-179.53
6484.4,-76.51
6560.91,16.82
6544.09,-159.7
6703.79,-129.31
6833.1,136.62
6696.48,-116.61
6813.09,-42.71
6855.8,-133.16
6988.96,57.34
6931.62,53.88
6877.74,-123.15
7000.89,65.43
6935.46,130.67
6804.79,64.2
6740.59,214.52
6526.07,134.38
6391.69,-311.86
6703.55,-35.32
6738.87,-332.33
7071.2,-98.33
7169.53,-25.14
7194.67,-151.24
7345.91,14.87
7331.04,-104.74
7435.78,-346.26
7782.04,-14.47
7796.51,108.79
7687.72,-208.09
7895.81,-26.01
7921.82,31.36
7890.46,-222.98
8113.44,-80.6
8194.04,162.82
8031.22,336.56
7694.66,-193.25
7887.91,265.49
7622.42,-199.99
7822.41,79.44
7742.97,-174.3
7917.27,-4.91
7922.18,-116.4
8038.58,-6.63
8045.21,198.18
7847.03,131.62
7715.41,273.33
7442.08,-139.24
7581.32,8.84
7572.48,-308.59
7881.07,57.94
7823.13,-326
8149.13,310.83
7838.3,82.01
7756.29,76.98
7679.31,-285.73
7965.04,384.62
7580.42,-173.13
7753.55,52.81
7700.74,-205.76
7906.5,-282.99
8189.49,-180.61
8370.1,-43.84
8413.94,-131.78
8545.72,-23.67
8569.39,-33.13
8602.52,-303.91
8906.43,110.35
8796.08,-187.33
8983.41,-11.45
8994.86,-172.64
9167.5,102.88
9064.62,-82.45
9147.07,91.92
9055.15,-40.85
9096,-18.44
9114.44,214.49
8899.95,-137.76
9037.71,202.77
8834.94,122.07
8712.87,-231.67
8944.54,-80.72
9025.26,-80.48
9105.74,-232.23
9337.97,400.61
8937.36,54.07
8883.29,285.27
8598.02,173.02
8425,-108.65
8533.65,481.97
8051.68,411.43
7640.25,-155.25
7795.5,-100.16
7895.66,-133.11
8028.77,244.08
7784.69,-114.83
7899.52,-517.24
8416.76,-35.53
8452.29,-139.81
8592.1,-383.36
8975.46,55.87
8919.59,-239.96
9159.55,-173.53
9333.08,316.94
9016.14,194.38
8821.76,-81.87
8903.63,-314.36
9217.99,36.56
9181.43,-461.89
9643.32,302.77
9340.55,219.88
9120.67,-238.16
9358.83,54.59
9304.24,29.35
9274.89,-65.06
9339.95,33.37
9306.58,-429.5
9736.08,-140.27
9876.35,-27.2
9903.55,81.31
9822.24,-10.27
9832.51,-341.33
10173.84,-320.05
10493.89,-195.78
10689.67,-99.37
10789.04,-242.55
11031.59,118.27
10913.32,84.04
10829.28,269.54
10559.74,-240.1
10799.84,309.33
10490.51,-365.05
10855.56,303
10552.56,-586.68
11139.24,-54.46
11193.7,-16.14
11209.84,298.88
10910.96,255.81
10655.15,-58.88
10714.03,-259.62
10973.65,-126.96
11100.61,10.44
11090.17,11.72
11078.45,50.02
11028.43,224.8
10803.63,485.04
10318.59,45.59
10273,-376.76
10649.76,630.05
10019.71,-450.54
10470.25,-259.61
10729.86,25.38
10704.48,-64.84
10769.32,-234.57
11003.89,14.98
10988.91,-297.27
11286.18,61.48
11224.7,-32.73
11257.43,-148.33
11405.76,-91.36
11497.12,-25.44
11522.56,-200.42
11722.98,471.27
11251.71,512.84
10738.87,-224.93
10963.8,538.59
10425.21,205.69
10219.52,357.4
9862.12,-505.08
10367.2,438.38
9928.82,-666.41
10595.23,-517.49
11112.72,190.8
10921.92,-189.56
11111.48,805.71
10305.77,-538.28
10844.05,110.14
10733.91,156.05
10577.86,-31.51
10609.37,-17.48
10626.85,327.61
10299.24,-495.52
10794.76,180.7
10614.06,164.76
10449.3,44.55
10404.75,-43.14
10447.89,-188.09
10635.98,-176.77
10812.75,79.19
10733.56,222.39
10511.17,-256.58
10767.75,-260.05
11027.8,-18.68
11046.48,-146.15
11192.63,-46.15
11238.78,18.13
11220.65,293.65
10927,79.63
10847.37,196.45
10650.92,54.38
10596.54,404.36
10192.18,-34.41
10226.59,-364.03
10590.62,-227.33
10817.95,215
10602.95,-26.92
10629.87,159.64
10470.23,96.69
10373.54,-339.37
10712.91,277.95
10434.96,-200.6
10635.56,-151.29
10786.85,124.84
10662.01,136.63
10525.38,-62.21
10587.59,-72.39
10659.98,-204.12
10864.1,82.65
10781.45,-18.37
10799.82,357.92
10441.9,-24.41
10466.31,-178.31
10644.62,821.21
9823.41,318.63
9504.78,-374
9878.78,87.69
9791.09,-335.85
10126.94,-452.91
10579.85,-230.2
10810.05,-141.19
10951.24,129.93
10821.31,-480.43
11301.74,296.37
11005.37,14.96
10990.41,13.41
10977,353.36
10623.64,19.05
10604.59,102.19
10502.4,249.72
10252.68,-286.38
10539.06,-37.59
10576.65,159.98
10416.67,-96.11
10512.78,96.53
10416.25,175.47
10240.78,-182.39
10423.17,473.42
9949.75,343.9
