Date,Value,Diff,logreturn,DiffLog
1979-02-23,97.78,-0.810000000000002,-0.003612637317663,-0.008318404834044592
1979-03-02,96.97,2.57000000000001,0.011360240797851,0.026157921113953313
1979-03-09,99.54,1.14999999999999,0.004988704448781,0.011486916497115236
1979-03-16,100.69,0.909999999999997,0.003907367091115,0.008997045216857947
1979-03-23,101.6,-0.009999999999991,-4.27476236284363e-05,-9.843004092786989e-05
1979-03-30,101.59,1.59,0.006744563213018,0.015529930713050245
1979-04-06,103.18,-1.18000000000001,-0.004995351775372,-0.011502222532232877
1979-04-12,102.0,-0.769999999999996,-0.003290934913401,-0.007577657673610648
1979-04-20,101.23,0.569999999999993,0.002438541152223,0.0056149485057619426
1979-04-27,101.8,-1.11,-0.004761437143955,-0.010963614188898832
1979-05-04,100.69,-2.17,-0.00946193768972,-0.021786916675186372
