id,pressure
343,1006.3451
344,1006.3507
345,1006.3868
346,1006.4483
347,1006.3299
348,1006.2166
349,1006.229
350,1006.2532
351,1006.4786
352,1006.6034
353,1006.7163
354,1006.84
355,1006.9682
356,1007.0923
357,1007.2483
358,1007.2995
359,1007.1865
360,1007.2801
361,1007.3332
362,1007.2839
363,1007.2041
364,1007.2182
365,1007.2605
366,1007.3911
367,1007.42
368,1007.6201
369,1007.7455
370,1008.0174
371,1008.2163
372,1008.4903
373,1008.778
374,1009.0378
375,1009.1824
376,1009.3957
377,1009.5543
378,1009.82
379,1010.0408
380,1010.2327
381,1010.3464
382,1010.3059
383,1010.2353
384,1010.1204
385,1009.9704
386,1009.9339
387,1009.6358
388,1009.3901
389,1009.3139
390,1009.2484
391,1009.0297
392,1008.8237
393,1008.76
394,1008.6229
395,1008.5099
396,1008.4225
397,1008.371
398,1008.2384
399,1008.1007
400,1008.0498
401,1007.8143
402,1007.7338
403,1007.5792
404,1007.3757
405,1007.1804
406,1007.0569
407,1006.8307
408,1006.5765
409,1006.4839
410,1006.3577
411,1006.2319
412,1006.1495
413,1006.0541
414,1006.0026
415,1005.8927
416,1005.9065
417,1005.8997
418,1005.8256
419,1005.7745
420,1005.6381
421,1005.6149
422,1005.5982
423,1005.5486
424,1005.4371
425,1005.3018
426,1005.2974
427,1005.2447
428,1005.2992
429,1005.4271
430,1005.5376
431,1005.5823
432,1005.6028
433,1005.7751
434,1005.8036
435,1005.7822
436,1005.7983
437,1005.939
438,1006.1295
439,1006.3422
440,1006.4021
441,1006.3472
442,1006.3517
443,1006.3588
444,1006.5099
445,1006.6181
446,1006.6504
447,1006.7597
448,1006.9658
449,1007.0849
450,1007.2619
451,1007.3987
452,1007.4473
453,1007.465
454,1007.6725
455,1007.6816
456,1007.7304
457,1007.7598
458,1007.7446
459,1007.7737
460,1007.7776
461,1007.7409
462,1007.7768
463,1007.8188
464,1007.9664
465,1008.0076
466,1008.1057
467,1008.2129
468,1008.1295
469,1008.1627
470,1008.1469
471,1008.0105
472,1007.8629
473,1007.7328
474,1007.5174
475,1007.4502
476,1007.4294
477,1007.2877
478,1007.2986
479,1007.3513
480,1007.2418
481,1007.1212
482,1007.1106
483,1007.0884
484,1006.8489
485,1006.8788
486,1006.9265
487,1006.9311
488,1006.8503
489,1006.7587
490,1006.6469
491,1006.6977
492,1006.793
493,1006.7573
494,1006.7712
495,1006.5636
496,1006.4945
497,1006.4906
498,1006.5084
499,1006.5725
500,1006.672
501,1006.8109
502,1006.8164
503,1006.9132
504,1007.0443
505,1007.1053
506,1007.1432
507,1007.3254
508,1007.3051
509,1007.2953
510,1007.42
511,1007.5037
512,1007.6706
513,1008.0153
514,1008.3067
515,1008.5445
516,1008.5832
517,1008.74
518,1008.9959
519,1009.1094
520,1009.2791
521,1009.5022
522,1009.564
523,1009.6241
524,1009.6833
525,1009.6625
526,1009.6873
527,1009.6697
528,1009.6549
529,1009.6365
530,1009.5736
531,1009.4532
532,1009.2804
533,1009.2232
534,1009.0602
535,1008.8928
536,1008.7615
537,1008.5699
538,1008.4312
539,1008.4734
540,1008.5181
541,1008.398
542,1008.3551
543,1008.0733
544,1007.7872
545,1007.5928
546,1007.2727
547,1006.9846
548,1006.8165
549,1006.6268
550,1006.395
551,1006.2119
552,1006.0139
553,1005.9121
554,1005.8293
555,1005.698
556,1005.5914
557,1005.5629
558,1005.4954
559,1005.4418
560,1005.395
561,1005.3603
562,1005.3101
563,1005.2336
564,1005.1106
565,1004.9961
566,1004.7201
567,1004.6078
568,1004.6193
569,1004.7995
570,1005.0913
571,1005.1306
572,1005.2477
573,1005.2734
574,1005.273
575,1005.4208
576,1005.5544
577,1005.5598
578,1005.6643
579,1005.7336
580,1005.7756
581,1005.8347
582,1006.0244
583,1006.1191
584,1006.2973
585,1006.3697
586,1006.3844
587,1006.3634
588,1006.3672
589,1006.513
590,1006.7136
591,1006.754
592,1006.6619
593,1006.6213
594,1006.7058
595,1006.882
596,1006.8954
597,1006.9058
598,1006.879
599,1006.8298
600,1006.7345
601,1006.6809
602,1006.6764
603,1006.7131
604,1006.7091
605,1006.7884
606,1006.626
607,1006.7366
608,1006.7019
609,1006.6616
610,1006.5521
611,1006.5251
612,1006.5229
613,1006.537
614,1006.5587
615,1006.5939
616,1006.7447
617,1006.7967
618,1006.5458
619,1006.2871
620,1006.254
621,1006.2339
622,1006.1038
623,1005.9425
624,1005.8903
625,1005.676
