id,wind_mean
460,2.7347
461,2.8888
462,2.5851
463,2.3022
464,1.9436
465,1.5481
466,1.3951
467,1.7328
468,1.7306
469,2.2489
470,1.8931
471,1.1131
472,1.2873
473,1.2245
474,1.82
475,2.3463
476,2.9121
477,3.4964
478,3.489
479,2.8254
480,2.6867
481,3.3158
482,3.3866
483,3.7721
484,3.6468
485,3.9938
486,3.9694
487,3.7968
488,3.7307
489,4.1195
490,4.3727
491,3.4342
492,2.5212
493,2.1625
494,2.3731
495,3.272
496,3.8307
497,3.7255
498,3.8111
499,3.6192
500,2.8684
501,2.4811
502,2.6662
503,2.8947
504,3.1073
505,3.1972
506,3.8449
507,4.3851
508,3.7645
509,3.5124
510,3.3813
511,3.4718
512,2.7030000000000003
513,2.2736
514,1.4275
515,0.9516
516,2.0606
517,2.2842
518,1.9615
519,2.174
520,2.0367
521,2.1111
522,1.8957
523,1.5922
524,2.2538
525,2.6756
526,3.5072
527,4.9154
528,6.871
529,6.7555
530,6.921
531,6.9901
532,7.9094
533,8.7575
534,8.1974
535,7.1877
536,7.3016
537,7.0421
538,8.2121
539,7.3089
540,7.3224
541,6.5458
542,7.1225
543,7.3212
544,5.4309
545,5.4724
546,6.0851
547,6.1898
548,6.3046
549,7.7106
550,8.1194
551,8.1971
552,7.2964
553,6.5338
554,6.3529
555,6.785
556,6.811
557,7.8143
558,6.1689
559,7.2354
560,5.7479
561,7.3417
562,6.7814
563,7.6917
564,5.3251
565,5.7441
566,7.1408
567,6.9228
568,7.2221
569,7.0116
570,5.7837
571,6.7468
572,6.8144
573,6.6022
574,5.2231
575,6.0867
576,5.2339
577,5.6525
578,5.3565
579,5.6331
580,4.5429
581,3.4531
582,3.6434
583,2.9729
584,2.6642
585,2.2805
586,1.8258
587,1.5172
588,1.3669
589,1.2341
590,1.3224
591,1.4071
592,0.9273
593,0.7529
594,0.9022
595,0.5594
596,0.1497
597,0.7203
598,0.6198
599,0.4748
600,0.5732
601,0.7278
602,0.947
603,1.1655
604,2.1174
605,3.0373
606,3.3469
607,3.3277
608,2.4451
