id,wd
368,295.1765
369,297.1962
370,292.4787
371,296.3256
372,300.6744
373,304.4269
374,303.5917
375,308.0856
376,307.5264
377,304.6883
378,311.4781
379,308.7847
380,308.4096
381,311.6076
382,316.5166
383,305.4489
384,300.8496
385,305.9969
386,299.1438
387,287.5232
388,289.1413
389,281.3956
390,272.3213
391,271.9064
392,261.3798
393,262.6536
394,264.7476
395,267.723
396,273.9007
397,267.8975
398,269.9469
399,271.0098
400,265.66700000000003
401,247.6534
402,262.6907
403,253.9947
404,242.9723
405,245.8963
406,244.772
407,251.8292
408,239.985
409,246.7688
410,242.3319
411,234.8938
412,241.4609
413,242.8518
414,237.2242
415,236.3591
416,251.3151
417,238.341
418,236.7943
419,248.5721
420,243.8522
421,243.6922
422,248.0574
423,244.3201
424,249.0157
425,254.1761
426,252.857
427,252.0988
428,254.0209
429,251.2327
430,250.9638
431,237.5744
432,243.4285
433,254.7328
434,253.3645
435,247.352
436,256.2317
437,253.4688
438,246.3103
439,247.6239
440,245.4777
441,261.2312
442,267.7554
443,265.2221
444,250.3391
445,249.9939
446,249.7102
447,249.579
448,260.8747
449,277.69
450,316.672
451,330.2012
452,311.946
453,300.8521
454,308.3336
455,334.1602
456,323.9013
457,322.1895
458,336.3053
459,331.5099
460,332.7585
461,335.5591
462,336.1086
463,330.3804
464,314.7921
465,299.3271
466,252.3739
467,234.3427
468,241.4689
469,234.0829
470,262.4737
471,293.3947
472,300.0387
473,298.4961
474,307.1559
475,313.4439
476,315.5977
477,320.1501
478,325.8311
479,316.077
480,313.7326
481,309.1575
482,303.9902
483,305.8283
484,304.5949
485,307.1643
486,307.8333
487,305.6846
488,303.9944
489,306.4215
490,308.2307
491,306.7238
492,293.6087
493,288.8481
494,291.0808
495,290.6749
496,286.823
497,284.8575
498,292.1671
499,297.2741
500,296.9592
501,300.4378
502,308.2324
503,305.6665
504,302.1626
505,296.0373
506,294.5374
507,292.9446
508,304.2478
509,308.6334
510,306.9457
511,303.8244
512,300.7787
513,300.6007
514,292.5687
515,291.9454
516,293.8152
517,293.1644
518,301.5857
519,317.7565
520,312.8869
521,321.7929
522,322.8809
523,313.7174
524,312.4612
525,319.5444
526,295.9619
527,299.4552
528,283.4586
529,283.0878
530,285.6598
531,281.4699
532,266.235
533,273.9236
534,273.49
535,276.7185
536,259.8435
537,257.0344
538,251.5715
539,250.93
540,254.813
541,251.5855
542,243.1867
543,249.3667
544,234.7408
545,252.8512
546,251.2854
547,248.9717
548,251.3285
549,255.7995
550,261.2013
551,261.0143
552,252.2916
553,255.9076
554,254.2252
555,253.4922
556,244.8078
557,236.9389
558,233.1733
559,230.2599
560,228.6125
561,223.1709
562,231.5961
563,234.024
564,230.1662
565,228.0208
566,224.6502
567,228.9096
568,228.74
569,222.4482
